"ID","temp","var","season","year"
"7iA",2.5419312182203,"BT","Spring","Overall"
"Ste",2.77341501275235,"BT","Spring","Overall"
"InB",6.71936921947442,"BT","Spring","Overall"
"NsS",7.51156529056657,"BT","Spring","Overall"
"Lab",-1.18011867266124,"BT","Spring","Overall"
"Bla",-0.220322317869043,"BT","Spring","Overall"
"NDF",-0.599860043129336,"BT","Spring","Overall"
"NDS",-0.599860043129336,"BT","Spring","Overall"
"Tri",1.36665795339263,"BT","Spring","Overall"
"Mir",2.52587140490658,"BT","Spring","Overall"
"NsF",6.43008073758427,"BT","Spring","Overall"
"BDO",0.783577390681738,"BT","Spring","Overall"
"ScB",4.34072957986172,"BT","Spring","Overall"
"Mus",3.51610929924027,"BT","Spring","Overall"
"GeB",3.34227314212108,"BT","Spring","Overall"
"M514",4.19758134332855,"BT","Spring","Overall"
"7iA",3.0908775234889,"BT","Summer","Overall"
"Ste",2.32429484085353,"BT","Summer","Overall"
"InB",16.6127979252764,"BT","Summer","Overall"
"NsS",18.4849320641212,"BT","Summer","Overall"
"Lab",0.55641223444855,"BT","Summer","Overall"
"Bla",4.5511274257104,"BT","Summer","Overall"
"NDF",1.68371375327358,"BT","Summer","Overall"
"NDS",1.68371375327358,"BT","Summer","Overall"
"Tri",6.96847331059875,"BT","Summer","Overall"
"Mir",9.81308530456836,"BT","Summer","Overall"
"NsF",17.779115371255,"BT","Summer","Overall"
"BDO",3.4449530541529,"BT","Summer","Overall"
"ScB",7.47548990557405,"BT","Summer","Overall"
"Mus",9.13931410125519,"BT","Summer","Overall"
"GeB",4.74587230594483,"BT","Summer","Overall"
"M514",6.55548243839306,"BT","Summer","Overall"
"7iA",3.35282923747453,"BT","Fall","Overall"
"Ste",2.69852689917023,"BT","Fall","Overall"
"InB",4.25308871697329,"BT","Fall","Overall"
"NsS",5.9929047911387,"BT","Fall","Overall"
"Lab",1.13335023984614,"BT","Fall","Overall"
"Bla",2.33573416999754,"BT","Fall","Overall"
"NDF",2.41918958683267,"BT","Fall","Overall"
"NDS",2.41918958683267,"BT","Fall","Overall"
"Tri",7.02267817270475,"BT","Fall","Overall"
"Mir",6.18990034152632,"BT","Fall","Overall"
"NsF",7.07708183479999,"BT","Fall","Overall"
"BDO",5.04984517912826,"BT","Fall","Overall"
"ScB",8.93871230605919,"BT","Fall","Overall"
"Mus",8.45847302319627,"BT","Fall","Overall"
"GeB",6.45747736514596,"BT","Fall","Overall"
"M514",8.45470775027174,"BT","Fall","Overall"
"7iA",2.74222850215409,"BT","Winter","Overall"
"Ste",3.00877572557462,"BT","Winter","Overall"
"InB",-1.66090962774396,"BT","Winter","Overall"
"NsS",-1.54477351979972,"BT","Winter","Overall"
"Lab",-1.57889037824843,"BT","Winter","Overall"
"Bla",-1.65802008917123,"BT","Winter","Overall"
"NDF",-1.20952193646529,"BT","Winter","Overall"
"NDS",-1.20952193646529,"BT","Winter","Overall"
"Tri",-0.302587047729732,"BT","Winter","Overall"
"Mir",-1.43515757420858,"BT","Winter","Overall"
"NsF",-1.41192954593042,"BT","Winter","Overall"
"BDO",-0.0019741032555152,"BT","Winter","Overall"
"ScB",2.42942032469884,"BT","Winter","Overall"
"Mus",1.05639458073341,"BT","Winter","Overall"
"GeB",4.13282400041297,"BT","Winter","Overall"
"M514",3.01568066641913,"BT","Winter","Overall"
"7iA",3.71963542052054,"SST","Spring","Overall"
"Ste",2.31141152165162,"SST","Spring","Overall"
"InB",6.65976037470017,"SST","Spring","Overall"
"NsS",7.38718188109849,"SST","Spring","Overall"
"Lab",0.454388645416254,"SST","Spring","Overall"
"Bla",1.01043076803888,"SST","Spring","Overall"
"NDF",1.37883673238879,"SST","Spring","Overall"
"NDS",1.37883673238879,"SST","Spring","Overall"
"Tri",2.56935001361602,"SST","Spring","Overall"
"Mir",4.68114609543314,"SST","Spring","Overall"
"NsF",6.52304530972083,"SST","Spring","Overall"
"BDO",3.20768752640754,"SST","Spring","Overall"
"ScB",7.31989091870914,"SST","Spring","Overall"
"Mus",4.70266849889602,"SST","Spring","Overall"
"GeB",7.1144744741367,"SST","Spring","Overall"
"M514",8.60619606809871,"SST","Spring","Overall"
"7iA",11.5571605912793,"SST","Summer","Overall"
"Ste",12.9271018749534,"SST","Summer","Overall"
"InB",16.5369567614745,"SST","Summer","Overall"
"NsS",18.3994114787928,"SST","Summer","Overall"
"Lab",6.98172603365903,"SST","Summer","Overall"
"Bla",9.49543965002627,"SST","Summer","Overall"
"NDF",9.3612084767954,"SST","Summer","Overall"
"NDS",9.3612084767954,"SST","Summer","Overall"
"Tri",11.3522892926882,"SST","Summer","Overall"
"Mir",15.0856422840022,"SST","Summer","Overall"
"NsF",18.1166547765564,"SST","Summer","Overall"
"BDO",14.8826408230344,"SST","Summer","Overall"
"ScB",16.7218570322111,"SST","Summer","Overall"
"Mus",12.5028601342482,"SST","Summer","Overall"
"GeB",16.4340431028213,"SST","Summer","Overall"
"M514",17.8465559261747,"SST","Summer","Overall"
"7iA",4.20073057229451,"SST","Fall","Overall"
"Ste",5.713605971418,"SST","Fall","Overall"
"InB",4.17431511346677,"SST","Fall","Overall"
"NsS",5.92942859964919,"SST","Fall","Overall"
"Lab",1.36147692012662,"SST","Fall","Overall"
"Bla",2.45672719531401,"SST","Fall","Overall"
"NDF",3.78896061807719,"SST","Fall","Overall"
"NDS",3.78896061807719,"SST","Fall","Overall"
"Tri",7.44339206764302,"SST","Fall","Overall"
"Mir",6.11673790987047,"SST","Fall","Overall"
"NsF",6.98388436983539,"SST","Fall","Overall"
"BDO",7.97208433242768,"SST","Fall","Overall"
"ScB",9.25965561517613,"SST","Fall","Overall"
"Mus",8.77546184221495,"SST","Fall","Overall"
"GeB",9.94812726740822,"SST","Fall","Overall"
"M514",10.2016296959476,"SST","Fall","Overall"
"7iA",-0.956752072571686,"SST","Winter","Overall"
"Ste",-0.960844875009824,"SST","Winter","Overall"
"InB",-1.6795208872944,"SST","Winter","Overall"
"NsS",-1.55375859331167,"SST","Winter","Overall"
"Lab",-1.67569652553298,"SST","Winter","Overall"
"Bla",-1.67298192838959,"SST","Winter","Overall"
"NDF",-1.46803945228883,"SST","Winter","Overall"
"NDS",-1.46803945228883,"SST","Winter","Overall"
"Tri",-0.406503299183457,"SST","Winter","Overall"
"Mir",-1.48211153963642,"SST","Winter","Overall"
